"r","value"
"al",0.326047446172228
"ak",0.326047446172228
"az",0.326047446172228
"ar",0.326047446172228
"ca",0.326047446172228
"co",0.326047446172228
"ct",0.326047446172228
"de",0.326047446172228
"dc",0.326047446172228
"fl",0.326047446172228
"ga",0.326047446172228
"hi",0.326047446172228
"id",0.326047446172228
"il",0.326047446172228
"in",0.326047446172228
"ia",0.326047446172228
"ks",0.326047446172228
"ky",0.326047446172228
"la",0.326047446172228
"me",0.326047446172228
"md",0.326047446172228
"ma",0.326047446172228
"mi",0.326047446172228
"mn",0.326047446172228
"ms",0.326047446172228
"mo",0.326047446172228
"mt",0.326047446172228
"ne",0.326047446172228
"nv",0.326047446172228
"nh",0.326047446172228
"nj",0.326047446172228
"nm",0.326047446172228
"ny",0.326047446172228
"nc",0.326047446172228
"nd",0.326047446172228
"oh",0.326047446172228
"ok",0.326047446172228
"or",0.326047446172228
"pa",0.326047446172228
"ri",0.326047446172228
"sc",0.326047446172228
"sd",0.326047446172228
"tn",0.326047446172228
"tx",0.326047446172228
"ut",0.326047446172228
"vt",0.326047446172228
"va",0.326047446172228
"wa",0.326047446172228
"wv",0.326047446172228
"wi",0.326047446172228
"wy",0.326047446172228
