"year","r","hh","n"
2016,"US","hh1",13917
2016,"US","hh2",13682
2016,"US","hh3",13970
2016,"US","hh4",14206
2016,"US","hh5",14182
2016,"AL","hh1",384
2016,"AK","hh1",99
2016,"AZ","hh1",223
2016,"AR","hh1",315
2016,"CA","hh1",1186
2016,"CO","hh1",128
2016,"CT","hh1",110
2016,"DE","hh1",136
2016,"DC","hh1",351
2016,"FL","hh1",721
2016,"GA","hh1",344
2016,"HI","hh1",182
2016,"ID","hh1",171
2016,"IL","hh1",348
2016,"IN","hh1",219
2016,"IA","hh1",116
2016,"KS","hh1",162
2016,"KY","hh1",202
2016,"LA","hh1",485
2016,"ME","hh1",118
2016,"MD","hh1",125
2016,"MA","hh1",246
2016,"MI","hh1",269
2016,"MN","hh1",117
2016,"MS","hh1",413
2016,"MO","hh1",188
2016,"MT","hh1",265
2016,"NE","hh1",129
2016,"NV","hh1",156
2016,"NH","hh1",107
2016,"NJ","hh1",247
2016,"NM","hh1",391
2016,"NY","hh1",583
2016,"NC","hh1",345
2016,"ND","hh1",146
2016,"OH","hh1",368
2016,"OK","hh1",227
2016,"OR","hh1",181
2016,"PA","hh1",336
2016,"RI","hh1",124
2016,"SC","hh1",266
2016,"SD","hh1",156
2016,"TN","hh1",309
2016,"TX","hh1",794
2016,"UT","hh1",113
2016,"VT","hh1",150
2016,"VA","hh1",226
2016,"WA","hh1",194
2016,"WV","hh1",403
2016,"WI","hh1",154
2016,"WY","hh1",189
2016,"AL","hh2",335
2016,"AK","hh2",117
2016,"AZ","hh2",225
2016,"AR","hh2",297
2016,"CA","hh2",1068
2016,"CO","hh2",148
2016,"CT","hh2",106
2016,"DE","hh2",156
2016,"DC","hh2",194
2016,"FL","hh2",756
2016,"GA","hh2",328
2016,"HI","hh2",162
2016,"ID","hh2",211
2016,"IL","hh2",362
2016,"IN","hh2",204
2016,"IA","hh2",141
2016,"KS","hh2",181
2016,"KY","hh2",220
2016,"LA","hh2",381
2016,"ME","hh2",125
2016,"MD","hh2",153
2016,"MA","hh2",211
2016,"MI","hh2",312
2016,"MN","hh2",154
2016,"MS","hh2",325
2016,"MO","hh2",193
2016,"MT","hh2",274
2016,"NE","hh2",167
2016,"NV","hh2",202
2016,"NH","hh2",135
2016,"NJ","hh2",219
2016,"NM","hh2",351
2016,"NY","hh2",557
2016,"NC","hh2",324
2016,"ND","hh2",177
2016,"OH","hh2",351
2016,"OK","hh2",261
2016,"OR","hh2",195
2016,"PA","hh2",314
2016,"RI","hh2",121
2016,"SC","hh2",253
2016,"SD","hh2",121
2016,"TN","hh2",270
2016,"TX","hh2",908
2016,"UT","hh2",151
2016,"VT","hh2",137
2016,"VA","hh2",230
2016,"WA","hh2",204
2016,"WV","hh2",308
2016,"WI","hh2",193
2016,"WY","hh2",194
2016,"AL","hh3",273
2016,"AK","hh3",152
2016,"AZ","hh3",255
2016,"AR","hh3",285
2016,"CA","hh3",1135
2016,"CO","hh3",186
2016,"CT","hh3",122
2016,"DE","hh3",166
2016,"DC","hh3",227
2016,"FL","hh3",713
2016,"GA","hh3",332
2016,"HI","hh3",203
2016,"ID","hh3",244
2016,"IL","hh3",385
2016,"IN","hh3",185
2016,"IA","hh3",183
2016,"KS","hh3",179
2016,"KY","hh3",163
2016,"LA","hh3",284
2016,"ME","hh3",96
2016,"MD","hh3",148
2016,"MA","hh3",220
2016,"MI","hh3",330
2016,"MN","hh3",159
2016,"MS","hh3",240
