"year","r","hh","source","value"
2016,"US","hh1","hwsval",0.0117148380626792
2016,"US","hh1","hseval",0.0235981317037634
2016,"US","hh1","hfrval",0.00500407645842887
2016,"US","hh1","hucval",0.110276061062855
2016,"US","hh1","hwcval",0.0522538715695843
2016,"US","hh1","hssval",0.176169002831295
2016,"US","hh1","hssival",0.64487219410033
2016,"US","hh1","hpawval",0.621069270818151
2016,"US","hh1","hvetval",0.271901833933503
2016,"US","hh1","hsurval",0.262832401320903
2016,"US","hh1","hdisval",0.295706771931373
2016,"US","hh1","hretval",0.0121497226062992
2016,"US","hh1","hintval",0.00858953312670406
2016,"US","hh1","hdivval",0.00919114655237716
2016,"US","hh1","hrntval",0.0154670559384576
2016,"US","hh1","hedval",0.217535309853132
2016,"US","hh1","hcspval",0.191297260217543
2016,"US","hh1","hfinval",0.574784245257538
2016,"US","hh1","hoival",0.0375240462905274
2016,"US","hh1","htotval",0.0344371743733366
2016,"US","hh2","hwsval",0.0616693025714598
2016,"US","hh2","hseval",0.0816118803635446
2016,"US","hh2","hfrval",0.0526450196824683
2016,"US","hh2","hucval",0.192251237114291
2016,"US","hh2","hwcval",0.206057311580345
2016,"US","hh2","hssval",0.277687573033176
2016,"US","hh2","hssival",0.158925600727531
2016,"US","hh2","hpawval",0.14705822517551
2016,"US","hh2","hvetval",0.21194256141056
2016,"US","hh2","hsurval",0.22071152720115
2016,"US","hh2","hdisval",0.170145523074871
2016,"US","hh2","hretval",0.0911901931112091
2016,"US","hh2","hintval",0.0296585270156951
2016,"US","hh2","hdivval",0.0353849395311353
2016,"US","hh2","hrntval",0.0507266529845764
2016,"US","hh2","hedval",0.171071814724549
2016,"US","hh2","hcspval",0.20321583238943
2016,"US","hh2","hfinval",0.162715903534026
2016,"US","hh2","hoival",0.123650980725663
2016,"US","hh2","htotval",0.0825307557433373
2016,"US","hh3","hwsval",0.132849206077927
2016,"US","hh3","hseval",0.128273206887838
2016,"US","hh3","hfrval",0.0757310130905775
2016,"US","hh3","hucval",0.216697502737891
2016,"US","hh3","hwcval",0.214253164073103
2016,"US","hh3","hssval",0.227156466496104
2016,"US","hh3","hssival",0.0992814232351523
2016,"US","hh3","hpawval",0.0894641639496581
2016,"US","hh3","hvetval",0.185806719765614
2016,"US","hh3","hsurval",0.177542494002103
2016,"US","hh3","hdisval",0.208465991464122
2016,"US","hh3","hretval",0.199229778412058
2016,"US","hh3","hintval",0.0708596482684736
2016,"US","hh3","hdivval",0.0870063586962972
2016,"US","hh3","hrntval",0.105606136541666
2016,"US","hh3","hedval",0.193307337563899
2016,"US","hh3","hcspval",0.224791982981578
2016,"US","hh3","hfinval",0.0764865765453493
2016,"US","hh3","hoival",0.126762380765669
2016,"US","hh3","htotval",0.14150927135718
2016,"US","hh4","hwsval",0.238956250277105
2016,"US","hh4","hseval",0.19352790632363
2016,"US","hh4","hfrval",0.163642636166712
2016,"US","hh4","hucval",0.250289880119453
2016,"US","hh4","hwcval",0.27429307327314
2016,"US","hh4","hssval",0.171803468180361
2016,"US","hh4","hssival",0.0491431823991221
2016,"US","hh4","hpawval",0.0967649692589914
2016,"US","hh4","hvetval",0.174600219776029
2016,"US","hh4","hsurval",0.141169241444433
2016,"US","hh4","hdisval",0.164163148566762
2016,"US","hh4","hretval",0.284454338351995
2016,"US","hh4","hintval",0.167155031243921
2016,"US","hh4","hdivval",0.159436826631842
2016,"US","hh4","hrntval",0.159166322495513
2016,"US","hh4","hedval",0.194747178055979
2016,"US","hh4","hcspval",0.229489023665336
2016,"US","hh4","hfinval",0.105229982544743
2016,"US","hh4","hoival",0.371168563918093
2016,"US","hh4","htotval",0.228261722942068
2016,"US","hh5","hwsval",0.554810403010829
2016,"US","hh5","hseval",0.572988874721225
2016,"US","hh5","hfrval",0.702977254601813
2016,"US","hh5","hucval",0.23048531896551
2016,"US","hh5","hwcval",0.253142579503828
2016,"US","hh5","hssval",0.147183489459064
2016,"US","hh5","hssival",0.0477775995378647
2016,"US","hh5","hpawval",0.0456433707976897
2016,"US","hh5","hvetval",0.155748665114294
2016,"US","hh5","hsurval",0.197744336031411
2016,"US","hh5","hdisval",0.161518564962873
2016,"US","hh5","hretval",0.412975967518439
2016,"US","hh5","hintval",0.723737260345206
2016,"US","hh5","hdivval",0.708980728588348
2016,"US","hh5","hrntval",0.669033832039788
2016,"US","hh5","hedval",0.22333835980244
2016,"US","hh5","hcspval",0.151205900746113
2016,"US","hh5","hfinval",0.0807832921183429
2016,"US","hh5","hoival",0.340894028300048
2016,"US","hh5","htotval",0.513261075584078
2016,"AL","hh1","hwsval",0.0188796286181066
2016,"AL","hh1","hseval",0.0265754578052566
2016,"AL","hh1","hfrval",-2.17376813722682e-06
2016,"AL","hh1","hucval",0.10811771178616
2016,"AL","hh1","hwcval",0.0133358041168403
2016,"AL","hh1","hssval",0.222465767916015
2016,"AL","hh1","hssival",0.602895472611666
2016,"AL","hh1","hpawval",0.451998860221073
2016,"AL","hh1","hvetval",0.126986722814618
2016,"AL","hh1","hsurval",0.409629477343642
2016,"AL","hh1","hdisval",0.267252563250222
2016,"AL","hh1","hretval",0.00883913228218656
2016,"AL","hh1","hintval",0.00739545221862637
2016,"AL","hh1","hdivval",0.00446690980596621
2016,"AL","hh1","hrntval",0.00644493874325452
2016,"AL","hh1","hedval",0.0620116819597034
2016,"AL","hh1","hcspval",0.257797706131575
2016,"AL","hh1","hfinval",0.246907883531463
2016,"AL","hh1","hoival",0.0347990991062781
2016,"AL","hh1","htotval",0.0453803256290894
2016,"AL","hh2","hwsval",0.0859154120787231
2016,"AL","hh2","hseval",0.1201855654878
2016,"AL","hh2","hfrval",0.0878176008839326
2016,"AL","hh2","hucval",0.414790646342967
2016,"AL","hh2","hwcval",0.257406690091652
2016,"AL","hh2","hssval",0.337817222327217
2016,"AL","hh2","hssival",0.245532214055143
2016,"AL","hh2","hpawval",0.223777886625149
2016,"AL","hh2","hvetval",0.13392357584658
2016,"AL","hh2","hsurval",0.218975252425155
2016,"AL","hh2","hdisval",0.181862650508335
2016,"AL","hh2","hretval",0.0876972738971306
2016,"AL","hh2","hintval",0.0233036140253192
2016,"AL","hh2","hdivval",0.0183090296271166
2016,"AL","hh2","hrntval",0.0510551350052041
2016,"AL","hh2","hedval",0.10983991699534
2016,"AL","hh2","hcspval",0.311071808754485
2016,"AL","hh2","hfinval",0.467722237283834
2016,"AL","hh2","hoival",0.244131605579794
2016,"AL","hh2","htotval",0.111309113071649
2016,"AL","hh3","hwsval",0.148794836297025
2016,"AL","hh3","hseval",0.194049735628328
2016,"AL","hh3","hfrval",0.11361814060744
2016,"AL","hh3","hucval",0.155373256856015
