"year","r","hh","source","value"
2016,"US","hh1","hwsval",92354721527.28
2016,"US","hh1","hseval",8919723535.84
2016,"US","hh1","hfrval",184357206.85
2016,"US","hh1","hucval",2024376472.73
2016,"US","hh1","hwcval",610298284.06
2016,"US","hh1","hssval",135421956197.86
2016,"US","hh1","hssival",31894335735.05
2016,"US","hh1","hpawval",4220174796.11
2016,"US","hh1","hvetval",15777335857.17
2016,"US","hh1","hsurval",11848785189.24
2016,"US","hh1","hdisval",11057312145.74
2016,"US","hh1","hretval",6631473230.23
2016,"US","hh1","hintval",2557987087.78
2016,"US","hh1","hdivval",1189427337.87
2016,"US","hh1","hrntval",1528445858.39
2016,"US","hh1","hedval",14752884409.74
2016,"US","hh1","hcspval",4444617311.83
2016,"US","hh1","hfinval",15581028325.95
2016,"US","hh1","hoival",442869540.76
2016,"US","hh1","htotval",361442110050.48
2016,"US","hh2","hwsval",486174135339.79
2016,"US","hh2","hseval",30848010309.51
2016,"US","hh2","hfrval",1939516484.98
2016,"US","hh2","hucval",3529223636.72
2016,"US","hh2","hwcval",2406643180.65
2016,"US","hh2","hssval",213459767312.19
2016,"US","hh2","hssival",7860203173.39
2016,"US","hh2","hpawval",999262795
2016,"US","hh2","hvetval",12298147921.36
2016,"US","hh2","hsurval",9949928020.49
2016,"US","hh2","hdisval",6362222097.76
2016,"US","hh2","hretval",49772767994.14
2016,"US","hh2","hintval",8832392637.6
2016,"US","hh2","hdivval",4579169115.34
2016,"US","hh2","hrntval",5012779611.89
2016,"US","hh2","hedval",11601807127.77
2016,"US","hh2","hcspval",4721534462.38
2016,"US","hh2","hfinval",4410839585.4
2016,"US","hh2","hoival",1459364286.69
2016,"US","hh2","htotval",866217715093.05
2016,"US","hh3","hwsval",1047325739101.27
2016,"US","hh3","hseval",48485259632.34
2016,"US","hh3","hfrval",2790036915.16
2016,"US","hh3","hucval",3977992340.44
2016,"US","hh3","hwcval",2502366512.96
2016,"US","hh3","hssval",174616263709.88
2016,"US","hh3","hssival",4910298620.23
2016,"US","hh3","hpawval",607910305.01
2016,"US","hh3","hvetval",10781593414.99
2016,"US","hh3","hsurval",8003818641.92
2016,"US","hh3","hdisval",7795132740.23
2016,"US","hh3","hretval",108742148690.64
2016,"US","hh3","hintval",21102202254.96
2016,"US","hh3","hdivval",11259502937.11
2016,"US","hh3","hrntval",10435939629.36
2016,"US","hh3","hedval",13109783457.96
2016,"US","hh3","hcspval",5222836636.47
2016,"US","hh3","hfinval",2073368443.1
2016,"US","hh3","hoival",1496085921.03
2016,"US","hh3","htotval",1485238279905.06
2016,"US","hh4","hwsval",1883827828730.38
2016,"US","hh4","hseval",73150512190.82
2016,"US","hh4","hfrval",6028824614.47
2016,"US","hh4","hucval",4594659437.35
2016,"US","hh4","hwcval",3203601702.99
2016,"US","hh4","hssval",132066148803.95
2016,"US","hh4","hssival",2430542319.65
2016,"US","hh4","hpawval",657519384.07
2016,"US","hh4","hvetval",10131326693.5
2016,"US","hh4","hsurval",6364070825.35
2016,"US","hh4","hdisval",6138524203.13
2016,"US","hh4","hretval",155258798174.21
2016,"US","hh4","hintval",49779237738.79
2016,"US","hh4","hdivval",20632738165.85
2016,"US","hh4","hrntval",15728727392.04
2016,"US","hh4","hedval",13207431055.32
2016,"US","hh4","hcspval",5331968091.43
2016,"US","hh4","hfinval",2852533541.58
2016,"US","hh4","hoival",4380637689.61
2016,"US","hh4","htotval",2395765630754.49
2016,"US","hh5","hwsval",4373885494306.56
2016,"US","hh5","hseval",216580804607.1
2016,"US","hh5","hfrval",25898669657.45
2016,"US","hh5","hucval",4231100136.57
2016,"US","hh5","hwcval",2956574838.44
2016,"US","hh5","hssval",113140653249.09
2016,"US","hh5","hssival",2363002799.96
2016,"US","hh5","hpawval",310147373.41
2016,"US","hh5","hvetval",9037449153.12
2016,"US","hh5","hsurval",8914540780.55
2016,"US","hh5","hdisval",6039635746.12
2016,"US","hh5","hretval",225407539091.22
2016,"US","hh5","hintval",215530988657.9
2016,"US","hh5","hdivval",91749278047.13
2016,"US","hh5","hrntval",66113550876.96
2016,"US","hh5","hedval",15146437645.69
2016,"US","hh5","hcspval",3513131151.71
2016,"US","hh5","hfinval",2189842141.89
2016,"US","hh5","hoival",4023328949.98
2016,"US","hh5","htotval",5387032169210.85
2016,"AL","hh1","hwsval",1927427446.6
2016,"AL","hh1","hseval",95104163.47
2016,"AL","hh1","hfrval",-1032.57
2016,"AL","hh1","hucval",22719519.58
2016,"AL","hh1","hwcval",1586646
2016,"AL","hh1","hssval",2767921612.67
2016,"AL","hh1","hssival",684732828.06
2016,"AL","hh1","hpawval",20920026.6
2016,"AL","hh1","hvetval",148160478.24
2016,"AL","hh1","hsurval",45597955.36
2016,"AL","hh1","hdisval",208550490.76
2016,"AL","hh1","hretval",62207553.04
2016,"AL","hh1","hintval",36741481.22
2016,"AL","hh1","hdivval",7551080.12
2016,"AL","hh1","hrntval",7297662.72
2016,"AL","hh1","hedval",50625921.5
2016,"AL","hh1","hcspval",73931983.77
2016,"AL","hh1","hfinval",129766497.8
2016,"AL","hh1","hoival",1787968
2016,"AL","hh1","htotval",6292630282.94
2016,"AL","hh2","hwsval",8771132455.84
2016,"AL","hh2","hseval",430101628
2016,"AL","hh2","hfrval",41714577.83
2016,"AL","hh2","hucval",87162815.93
2016,"AL","hh2","hwcval",30625322
2016,"AL","hh2","hssval",4203125719.39
2016,"AL","hh2","hssival",278860888.74
2016,"AL","hh2","hpawval",10357192.8
2016,"AL","hh2","hvetval",156253981.56
2016,"AL","hh2","hsurval",24375257
2016,"AL","hh2","hdisval",141916487.36
2016,"AL","hh2","hretval",617190991.52
2016,"AL","hh2","hintval",115775110.4
2016,"AL","hh2","hdivval",30950468.14
2016,"AL","hh2","hrntval",57810193.43
2016,"AL","hh2","hedval",89672572
2016,"AL","hh2","hcspval",89210087.48
2016,"AL","hh2","hfinval",245819112
2016,"AL","hh2","hoival",12543413.76
2016,"AL","hh2","htotval",15434598275.18
2016,"AL","hh3","hwsval",15190513393.69
