"yr","r","s","Val"
"1997","AL","ppd",1.02628406848554
"1997","AL","res",0.522647707349998
"1997","AL","com",0.58217885985869
"1997","AL","amb",2.77042444259481
"1997","AL","fbp",0.894659372102168
"1997","AL","rec",0.064363101768541
"1997","AL","con",3.01080665881768
"1997","AL","agr",0.130544073824881
"1997","AL","eec",0.315010962882689
"1997","AL","fnd",1.10145875827308
"1997","AL","pub",0.24021891720986
"1997","AL","hou",0.0619577867038878
"1997","AL","fbt",0.881607539114339
"1997","AL","ins",1.15287538757005
"1997","AL","tex",0.999826670981804
"1997","AL","leg",0.64545005973128
"1997","AL","fen",0.723320391751793
"1997","AL","uti",0.908760669785978
"1997","AL","nmp",0.376283508453359
"1997","AL","brd",1.10501072365961
"1997","AL","bnk",1.64683682195439
"1997","AL","ore",0.246911635306509
"1997","AL","edu",0.354200562659041
"1997","AL","ote",0.53951738118019
"1997","AL","man",0.537200927928733
"1997","AL","mch",0.490986697897791
"1997","AL","dat",0.0929693620383956
"1997","AL","amd",0.392602478306312
"1997","AL","oil",0.0403063299780614
"1997","AL","hos",1.39180349991333
"1997","AL","rnt",0.207284723288999
"1997","AL","pla",0.761115401708358
"1997","AL","fof",0.231837842350986
"1997","AL","fin",0.00467837106649777
"1997","AL","tsv",1.95461083096406
"1997","AL","nrs",0.527177327739802
"1997","AL","sec",0.276647120045428
"1997","AL","art",0.0999205228085256
"1997","AL","mov",0.0166326380197027
"1997","AL","fpd",0.375572919348655
"1997","AL","slg",12.3776571722608
"1997","AL","pri",0.307586185773749
"1997","AL","grd",0.0226488426341809
"1997","AL","pip",0.031667815008978
"1997","AL","sle",0.799394247921617
"1997","AL","osv",1.82209726545641
"1997","AL","trn",0.253080756408659
"1997","AL","smn",0.0689103144663896
"1997","AL","fmt",1.0306251503559
"1997","AL","pet",0.161305816063263
"1997","AL","mvt",0.990891186890113
"1997","AL","cep",0.776370510464348
"1997","AL","wst",0.118999277538169
"1997","AL","mot",0.575805203343642
"1997","AL","adm",1.37060785161855
"1997","AL","soc",0.359380027574551
"1997","AL","alt",0.902539207045286
"1997","AL","pmt",1.09201399318666
"1997","AL","trk",0.991091342767277
"1997","AL","fdd",2.15011647871996
"1997","AL","gmt",0.703662714973101
"1997","AL","wtt",0.0198771844800983
"1997","AL","wpd",0.858455198819673
"1997","AL","wht",3.36844953133105
"1997","AL","wrh",0.185448337573547
"1997","AL","ott",2.59011233148186
"1997","AL","che",0.886233444355287
"1997","AL","air",0.0276616741015
"1997","AL","mmf",0.290302264311809
"1997","AL","otr",0.368924990399813
"1997","AL","min",0.473110160270709
"1997","AK","ppd",0.0215900881115193
"1997","AK","res",0.354459484524264
"1997","AK","com",0.0294889313359798
"1997","AK","amb",0.337067817804967
"1997","AK","fbp",0.316995957362506
"1997","AK","rec",0.0124305433442259
"1997","AK","con",0.753897897492716
"1997","AK","agr",0.00596483229637855
"1997","AK","eec",0.00153216682290277
"1997","AK","fnd",0.375630515341264
"1997","AK","pub",0.0337711447197875
"1997","AK","hou",0.0155844429053359
"1997","AK","fbt",0.128236490071156
"1997","AK","ins",0.0926218267080782
"1997","AK","tex",0.00253084973805702
"1997","AK","leg",0.0774132446621418
"1997","AK","fen",0.246690530560854
"1997","AK","uti",0.0953087720748235
"1997","AK","nmp",0.0141684878318165
"1997","AK","brd",0.209088710410449
"1997","AK","bnk",0.19366751411866
"1997","AK","ore",0.0608927679664108
"1997","AK","edu",0.0573735133007131
"1997","AK","ote",0.00437302794334909
"1997","AK","man",0.131790885866647
"1997","AK","mch",0.00358650127400558
"1997","AK","dat",0.0188332032133082
"1997","AK","amd",0.0942291966991602
"1997","AK","oil",0.717602870473778
"1997","AK","hos",0.262038922386832
"1997","AK","rnt",0.0304669162232846
"1997","AK","pla",0.00311446651967206
"1997","AK","fof",0.0885798345341641
"1997","AK","fin",0.00425008252388051
"1997","AK","tsv",0.324515927777952
"1997","AK","nrs",0.099262484357787
"1997","AK","sec",0.165922030708047
"1997","AK","art",0.0278692188951198
"1997","AK","mov",0.0085386768303162
"1997","AK","fpd",0.00421222110438814
"1997","AK","slg",5.55926334542103
"1997","AK","pri",0.0163963406378183
"1997","AK","grd",0.0355824806243367
"1997","AK","pip",0.180412029112668
"1997","AK","sle",0.516748752845692
"1997","AK","osv",0.294651835847755
"1997","AK","smn",0.423358839456627
"1997","AK","fmt",0.0165377358762083
"1997","AK","pet",0.0375307403936231
"1997","AK","mvt",0.144858734835631
"1997","AK","cep",0.000949701270394857
"1997","AK","wst",0.0394920015087775
"1997","AK","mot",0.00152525024467708
"1997","AK","adm",0.283650721286086
"1997","AK","soc",0.0191100485239561
"1997","AK","alt",0.00127979423224411
"1997","AK","pmt",0.000615198036003615
"1997","AK","trk",0.111474556453267
"1997","AK","fdd",0.706221121379574
"1997","AK","gmt",0.102503550337139
"1997","AK","wtt",0.0321545669704839
"1997","AK","wpd",0.0215773836452734
"1997","AK","wht",0.368067759316479
"1997","AK","wrh",0.0131893145537401
"1997","AK","ott",0.376933597136225
"1997","AK","che",0.0125135904482171
"1997","AK","air",0.280062214873464
"1997","AK","mmf",0.00520072351402962
"1997","AK","otr",0.249862885931624
"1997","AK","min",0.127874965460011
"1997","AR","ppd",0.732985825483907
"1997","AR","res",0.363451466953562
"1997","AR","com",0.275150521606111
"1997","AR","amb",1.53190663998275
