"TableName","SeriesCode","LineNumber","LineDescription","METRIC_NAME","CL_UNIT","UNIT_MULT","year","value"
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2000,8621299
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2001,8993143
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2002,9150049
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2003,9481755
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2004,10015873
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2005,10546102
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2006,11301996
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2007,11932119
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2008,12425679
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2009,12065682
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2010,12556628
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2011,13309571
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2012,13917794
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2013,14068770
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2014,14784074
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2015,15473741
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2016,15887651
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2017,16662756
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2018,17528192
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2019,18363160
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2020,19620082
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2021,21419498
"T20100","A065RC","1","Personal income","Current Dollars","Level","6",2022,22088920
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2000,5847146
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2001,6038348
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2002,6135115
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2003,6353606
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2004,6719488
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2005,7066107
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2006,7479676
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2007,7878475
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2008,8056826
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2009,7759019
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2010,7925369
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2011,8226175
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2012,8567363
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2013,8835039
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2014,9250208
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2015,9699419
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2016,9966108
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2017,10424372
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2018,10957404
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2019,11446611
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2020,11596428
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2021,12557025
"T20100","A033RC","2","Compensation of employees","Current Dollars","Level","6",2022,13436720
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2000,4824946
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2001,4953635
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2002,4995843
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2003,5138269
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2004,5421014
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2005,5691379
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2006,6056739
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2007,6396392
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2008,6534095
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2009,6249110
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2010,6372510
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2011,6626182
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2012,6928124
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2013,7113994
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2014,7476332
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2015,7859482
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2016,8091239
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2017,8474410
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2018,8899824
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2019,9325144
"T20100","A034RC","3","Wages and salaries","Current Dollars","Level","6",2020,9465660
