"state","year","income","medicare","medicaid"
"AL",2009,"<25k",3.6091870429885,1.87016610838777
"AL",2009,"25-50k",2.41936952298208,1.25364045466618
"AL",2009,"50-75k",1.03218109235999,0.534843462989918
"AL",2009,"75-100k",0.470697828717153,0.243900666846469
"AL",2009,">100k",0.504564512952276,0.261449307109666
"AK",2009,"<25k",0.122073467348575,0.240077819118865
"AK",2009,"25-50k",0.153755275371084,0.302385374896465
"AK",2009,"50-75k",0.0857591932790786,0.168659746782188
"AK",2009,"75-100k",0.0657171217838314,0.129243672841535
"AK",2009,">100k",0.112694942217431,0.221633386360947
"AZ",2009,"<25k",3.01559815040475,2.69232033215593
"AZ",2009,"25-50k",2.64489854009815,2.3613604203332
"AZ",2009,"50-75k",1.36883850850858,1.22209643463304
"AZ",2009,"75-100k",0.659340185339436,0.588657671964205
"AZ",2009,">100k",0.781324615649092,0.697565140913628
"AR",2009,"<25k",2.04422164515375,1.49909587311275
"AR",2009,"25-50k",1.45805354825175,1.06923926871795
"AR",2009,"50-75k",0.619335610601241,0.454179447774243
"AR",2009,"75-100k",0.255652338883965,0.187478381848241
"AR",2009,">100k",0.242736857109302,0.178007028546821
"CA",2009,"<25k",16.5198852764575,12.7010873387833
"CA",2009,"25-50k",14.6162016400151,11.2374662707651
"CA",2009,"50-75k",8.15363716213257,6.2688121613398
"CA",2009,"75-100k",4.44947725587649,3.42091959436026
"CA",2009,">100k",6.96079866551836,5.35171463475159
"CO",2009,"<25k",1.80163799989944,1.17507101463187
"CO",2009,"25-50k",1.51623967381119,0.988927460472005
"CO",2009,"50-75k",0.861257508147864,0.561732564485828
"CO",2009,"75-100k",0.470494380830922,0.306867589100832
"CO",2009,">100k",0.589370437310588,0.384401371309463
"CT",2009,"<25k",1.97615188911126,1.76166593970181
"CT",2009,"25-50k",1.66208467256661,1.48168669255371
"CT",2009,"50-75k",0.953967797451634,0.850426824781523
"CT",2009,"75-100k",0.599806748139923,0.534705416331443
"CT",2009,">100k",0.980988892730573,0.874515126631515
"DE",2009,"<25k",0.467451715441601,0.344601796879105
"DE",2009,"25-50k",0.460192290082638,0.339250204531978
"DE",2009,"50-75k",0.259071800106582,0.190985731548964
"DE",2009,"75-100k",0.133986316998296,0.0987736787984778
"DE",2009,">100k",0.182297877370882,0.134388588241475
"FL",2009,"<25k",14.0322317011059,5.11586206477663
"FL",2009,"25-50k",12.2805917823103,4.47725030275671
"FL",2009,"50-75k",6.35354967380522,2.31637307915406
"FL",2009,"75-100k",2.99201040207556,1.09082524002144
"FL",2009,">100k",3.67461644070301,1.33968931329116
"GA",2009,"<25k",4.76715635960939,2.72728718225412
"GA",2009,"25-50k",3.53506796954881,2.02241018218617
"GA",2009,"50-75k",1.63673003167752,0.936372231048497
"GA",2009,"75-100k",0.83732911370902,0.479035464096657
"GA",2009,">100k",0.936716525455263,0.535894940414558
"HI",2009,"<25k",0.353048257850745,0.252177327036247
"HI",2009,"25-50k",0.382083215886146,0.272916582775819
"HI",2009,"50-75k",0.249173536128672,0.177981097234766
"HI",2009,"75-100k",0.200414296150992,0.14315306867928
"HI",2009,">100k",0.355280693983444,0.253771924273889
"ID",2009,"<25k",0.618298930825841,0.446489695859215
"ID",2009,"25-50k",0.627988306536862,0.453486645390571
"ID",2009,"50-75k",0.266501399389906,0.192447573216281
"ID",2009,"75-100k",0.123230212224023,0.0889877326863252
"ID",2009,">100k",0.0949811510233668,0.0685883528476074
"IL",2009,"<25k",6.88822199443229,5.04490516309613
"IL",2009,"25-50k",5.92585321194548,4.34007026615253
"IL",2009,"50-75k",2.94505024141776,2.15694255796564
"IL",2009,"75-100k",1.50212224618191,1.10014809068145
"IL",2009,">100k",1.79675230602256,1.31593392210426
"IN",2009,"<25k",3.89616484487958,2.34763727847317
"IN",2009,"25-50k",3.10128283554344,1.86868048085265
"IN",2009,"50-75k",1.45454802329905,0.876439087867146
"IN",2009,"75-100k",0.620833673848769,0.374083832303525
"IN",2009,">100k",0.571170622429167,0.344159320503514
"IA",2009,"<25k",1.62138702006507,1.09492299824503
"IA",2009,"25-50k",1.39494202210702,0.942004643137024
"IA",2009,"50-75k",0.643708814234048,0.43469669866335
"IA",2009,"75-100k",0.304530916841735,0.205649792677677
"IA",2009,">100k",0.282431226752122,0.190725867276922
"KS",2009,"<25k",1.47506597970105,0.856297767115704
"KS",2009,"25-50k",1.26980528067909,0.737140874700129
"KS",2009,"50-75k",0.624409445285108,0.362478981361875
"KS",2009,"75-100k",0.275765143384388,0.160085772282709
"KS",2009,">100k",0.31695415095036,0.183996604539583
"KY",2009,"<25k",3.46484540776716,2.53185242655355
"KY",2009,"25-50k",2.03528543289254,1.48723586641022
"KY",2009,"50-75k",0.851112783474745,0.621930190963397
"KY",2009,"75-100k",0.403362866390008,0.294747710752631
"KY",2009,">100k",0.353393509475549,0.258233805320203
"LA",2009,"<25k",3.36164974428954,2.66943241723131
"LA",2009,"25-50k",2.35751584174073,1.87206570903749
"LA",2009,"50-75k",1.08747071476566,0.863543140898718
"LA",2009,"75-100k",0.498081890318209,0.395518880784613
"LA",2009,">100k",0.572281808885858,0.454439852047866
"ME",2009,"<25k",0.875746207399751,0.955110707445353
"ME",2009,"25-50k",0.725863861611893,0.791645274070471
"ME",2009,"50-75k",0.353753078162527,0.385811950871006
"ME",2009,"75-100k",0.136695345514243,0.149083361201471
"ME",2009,">100k",0.147941507311586,0.161348706411699
"MD",2009,"<25k",2.41594276019575,1.69542779084052
"MD",2009,"25-50k",2.31976778030205,1.6279354079986
"MD",2009,"50-75k",1.47619992594586,1.03594771387818
"MD",2009,"75-100k",0.894229315246534,0.627540212223581
"MD",2009,">100k",1.55486021830981,1.09114887505912
"MA",2009,"<25k",4.03755117390851,3.84087664507637
"MA",2009,"25-50k",3.18268518158945,3.02765232093986
"MA",2009,"50-75k",1.82615863042985,1.73720399611252
"MA",2009,"75-100k",1.04692981075618,0.995932456572437
"MA",2009,">100k",1.54667520331601,1.47133458129881
"MI",2009,"<25k",7.30806785747259,3.98845398094715
"MI",2009,"25-50k",5.58662001009375,3.04895592841463
"MI",2009,"50-75k",2.49066966847543,1.35930885539022
"MI",2009,"75-100k",1.06816625881694,0.582962836467866
"MI",2009,">100k",1.08347620514129,0.591318398780137
"MN",2009,"<25k",2.53301399614196,2.52592916382536
"MN",2009,"25-50k",2.13249170183748,2.12652712913987
"MN",2009,"50-75k",1.0516240224356,1.04868263329586
"MN",2009,"75-100k",0.517924674554759,0.516476040841151
"MN",2009,">100k",0.557945605030195,0.556385032897768
"MS",2009,"<25k",2.56117681547347,1.79919829927434
"MS",2009,"25-50k",1.46486226750713,1.02904949179885
"MS",2009,"50-75k",0.581145404418957,0.40824819939985
"MS",2009,"75-100k",0.331534870795214,0.232899568698702
"MS",2009,">100k",0.244280641805225,0.171604440828251
"MO",2009,"<25k",3.96747417288022,3.0898397285486
"MO",2009,"25-50k",2.91222826168597,2.26802196799859
"MO",2009,"50-75k",1.40719677281929,1.09591450506808
"MO",2009,"75-100k",0.585188275241717,0.455740328162001
"MO",2009,">100k",0.652912517372805,0.508483470222726
"MT",2009,"<25k",0.471448041119883,0.326387105390689
"MT",2009,"25-50k",0.379232535687983,0.262545601630142
"MT",2009,"50-75k",0.194801524824184,0.13486259410905
"MT",2009,"75-100k",0.0967292902851604,0.0669664317358803
"MT",2009,">100k",0.0797886080827893,0.0552382671342387
"NE",2009,"<25k",0.939987627786006,0.607871274789582
"NE",2009,"25-50k",0.801719500686342,0.518456031228552
"NE",2009,"50-75k",0.382948571776903,0.247645213217498
"NE",2009,"75-100k",0.165237284615107,0.106855660513673
"NE",2009,">100k",0.195107015135643,0.126171820250695
"NV",2009,"<25k",1.02581020841843,0.394448084324624
"NV",2009,"25-50k",1.01280178927121,0.389446042065147
"NV",2009,"50-75k",0.587438527989751,0.225883891700869
"NV",2009,"75-100k",0.295465764713715,0.113613516338975
"NV",2009,">100k",0.425483709606897,0.163608465570384
"NH",2009,"<25k",0.575907518768194,0.407048599407589
"NH",2009,"25-50k",0.540274963612686,0.381863684822021
"NH",2009,"50-75k",0.347192211199632,0.245393745850569
"NH",2009,"75-100k",0.180238806113069,0.1273919009499
"NH",2009,">100k",0.225386500306419,0.15930206896992
"NJ",2009,"<25k",4.83679331464987,2.87534749460906
"NJ",2009,"25-50k",4.12953097237599,2.45489847568385
"NJ",2009,"50-75k",2.38684925896208,1.41891964165165
"NJ",2009,"75-100k",1.53471554038676,0.912348367382759
"NJ",2009,">100k",2.5661109136253,1.52548602067268
"NM",2009,"<25k",0.965511326104112,1.13906882763862
"NM",2009,"25-50k",0.775296130125976,0.914661102504896
"NM",2009,"50-75k",0.378084061614006,0.446047350422354
"NM",2009,"75-100k",0.169827390173326,0.200355066787478
"NM",2009,">100k",0.18128109198258,0.213867652646655
"NY",2009,"<25k",13.3574968929992,18.6347895299001
"NY",2009,"25-50k",9.23383193729667,12.8819430829272
"NY",2009,"50-75k",4.72354413011732,6.58972645885957
